# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
   25119 7.892e-02 8.027e-02 7.953e-02 3.105e-04
#------- --------- --------- --------- ---------


# Shell_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.160e-07 5.770e-07 5.446e-07 1.396e-08
      13 5.700e-07 6.450e-07 6.059e-07 1.747e-08
      16 6.250e-07 7.120e-07 6.685e-07 2.073e-08
      20 7.080e-07 8.110e-07 7.606e-07 2.495e-08
      25 8.160e-07 9.380e-07 8.772e-07 3.001e-08
      32 9.830e-07 1.123e-06 1.051e-06 3.378e-08
      40 1.163e-06 1.516e-06 1.278e-06 8.054e-08
      50 1.453e-06 1.890e-06 1.570e-06 7.510e-08
      63 1.813e-06 2.035e-06 1.927e-06 5.367e-08
      79 2.259e-06 2.541e-06 2.397e-06 6.392e-08
     100 2.926e-06 3.243e-06 3.089e-06 7.552e-08
     126 3.812e-06 4.174e-06 3.994e-06 8.777e-08
     158 4.984e-06 5.410e-06 5.196e-06 1.035e-07
     200 6.555e-06 7.029e-06 6.780e-06 1.112e-07
     251 8.496e-06 9.052e-06 8.775e-06 1.341e-07
     316 1.106e-05 1.171e-05 1.139e-05 1.551e-07
     398 1.454e-05 1.530e-05 1.491e-05 1.785e-07
     501 1.918e-05 2.008e-05 1.962e-05 2.110e-07
     631 2.511e-05 2.611e-05 2.559e-05 2.404e-07
     794 3.279e-05 3.406e-05 3.339e-05 3.128e-07
    1000 4.277e-05 4.424e-05 4.344e-05 3.463e-07
    1259 5.621e-05 5.826e-05 5.714e-05 4.684e-07
    1585 7.378e-05 7.602e-05 7.479e-05 5.008e-07
    1995 9.621e-05 9.906e-05 9.750e-05 6.429e-07
    2512 1.255e-04 1.303e-04 1.273e-04 9.542e-07
    3162 1.632e-04 1.674e-04 1.651e-04 1.018e-06
    3981 2.137e-04 2.191e-04 2.162e-04 1.285e-06
    5012 2.793e-04 2.857e-04 2.820e-04 1.517e-06
    6310 3.623e-04 3.716e-04 3.659e-04 1.967e-06
    7943 4.709e-04 4.837e-04 4.760e-04 2.723e-06
   10000 6.121e-04 6.428e-04 6.179e-04 3.591e-06
   12589 7.989e-04 8.378e-04 8.066e-04 5.346e-06
   15849 1.039e-03 1.085e-03 1.051e-03 8.101e-06
   19953 1.346e-03 1.396e-03 1.361e-03 9.806e-06
   25119 1.749e-03 1.829e-03 1.771e-03 1.606e-05
   31623 2.271e-03 2.344e-03 2.297e-03 1.773e-05
   39811 2.948e-03 3.046e-03 2.983e-03 2.209e-05
   50119 3.835e-03 3.943e-03 3.878e-03 2.633e-05
   63096 4.966e-03 5.120e-03 5.028e-03 3.708e-05
   79433 6.433e-03 6.629e-03 6.512e-03 4.494e-05
  100000 8.349e-03 8.601e-03 8.453e-03 5.776e-05
  125893 1.085e-02 1.117e-02 1.099e-02 7.786e-05
  158489 1.405e-02 1.461e-02 1.426e-02 1.196e-04
  199526 1.822e-02 1.979e-02 1.867e-02 3.467e-04
  251189 2.353e-02 2.441e-02 2.390e-02 2.055e-04
  316228 3.056e-02 3.173e-02 3.105e-02 2.649e-04
  398107 3.962e-02 4.105e-02 4.026e-02 3.458e-04
  501187 5.130e-02 5.322e-02 5.213e-02 4.395e-04
  630957 6.642e-02 6.878e-02 6.748e-02 5.636e-04
#------- --------- --------- --------- ---------


# quick_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 4.940e-07 5.400e-07 5.115e-07 9.218e-09
      13 5.230e-07 5.640e-07 5.424e-07 9.423e-09
      16 5.560e-07 6.100e-07 5.781e-07 1.158e-08
      20 6.450e-07 7.190e-07 6.813e-07 1.777e-08
      25 7.210e-07 8.200e-07 7.642e-07 2.342e-08
      32 8.410e-07 9.760e-07 9.048e-07 3.237e-08
      40 1.012e-06 1.156e-06 1.077e-06 3.488e-08
      50 1.217e-06 1.399e-06 1.306e-06 4.321e-08
      63 1.520e-06 1.741e-06 1.627e-06 5.131e-08
      79 1.921e-06 2.175e-06 2.044e-06 6.239e-08
     100 2.474e-06 2.790e-06 2.621e-06 7.335e-08
     126 3.204e-06 3.567e-06 3.384e-06 8.485e-08
     158 4.148e-06 4.599e-06 4.359e-06 1.045e-07
     200 5.413e-06 5.927e-06 5.670e-06 1.181e-07
     251 7.037e-06 7.621e-06 7.324e-06 1.374e-07
     316 9.195e-06 9.917e-06 9.544e-06 1.721e-07
     398 1.198e-05 1.286e-05 1.241e-05 2.112e-07
     501 1.566e-05 1.674e-05 1.619e-05 2.466e-07
     631 2.045e-05 2.181e-05 2.112e-05 3.066e-07
     794 2.670e-05 2.840e-05 2.755e-05 3.942e-07
    1000 3.489e-05 3.689e-05 3.593e-05 4.487e-07
    1259 4.551e-05 4.813e-05 4.682e-05 6.102e-07
