# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.459e-06 3.909e-06 2.931e-06 3.420e-07
      13 2.621e-06 3.304e-06 2.859e-06 1.278e-07
      16 3.045e-06 3.903e-06 3.372e-06 1.722e-07
      20 2.649e-06 4.458e-06 3.504e-06 6.085e-07
      25 2.570e-06 4.229e-06 3.173e-06 4.552e-07
      32 2.804e-06 4.045e-06 3.236e-06 2.781e-07
      40 3.118e-06 3.966e-06 3.541e-06 1.909e-07
      50 3.587e-06 4.675e-06 4.191e-06 2.628e-07
      63 4.552e-06 5.820e-06 5.166e-06 3.239e-07
      79 6.130e-06 7.459e-06 6.738e-06 3.115e-07
     100 9.177e-06 1.086e-05 9.992e-06 3.932e-07
     126 1.366e-05 1.612e-05 1.485e-05 5.812e-07
     158 2.017e-05 2.552e-05 2.194e-05 9.922e-07
     200 2.984e-05 3.382e-05 3.163e-05 8.997e-07
     251 4.385e-05 4.912e-05 4.603e-05 1.156e-06
     316 6.517e-05 7.102e-05 6.771e-05 1.296e-06
     398 9.742e-05 1.044e-04 1.004e-04 1.508e-06
     501 1.466e-04 1.700e-04 1.512e-04 3.634e-06
     631 2.224e-04 2.729e-04 2.289e-04 6.697e-06
     794 3.400e-04 4.588e-04 3.566e-04 2.287e-05
    1000 5.260e-04 6.932e-04 5.501e-04 3.262e-05
    1259 8.180e-04 1.039e-03 8.651e-04 5.923e-05
    1585 1.290e-03 1.599e-03 1.371e-03 8.272e-05
    1995 2.058e-03 2.363e-03 2.134e-03 7.638e-05
    2512 3.364e-03 3.646e-03 3.455e-03 5.957e-05
    3162 5.677e-03 6.150e-03 5.826e-03 9.734e-05
    3981 9.979e-03 1.162e-02 1.034e-02 2.720e-04
    5012 1.770e-02 2.030e-02 1.828e-02 4.957e-04
    6310 3.136e-02 3.481e-02 3.286e-02 1.041e-03
    7943 5.446e-02 6.126e-02 5.727e-02 1.970e-03
   10000 9.287e-02 1.028e-01 9.587e-02 2.682e-03
   12589 1.562e-01 1.746e-01 1.614e-01 4.775e-03
   15849 2.615e-01 2.888e-01 2.744e-01 6.106e-03
   19953 4.285e-01 4.714e-01 4.492e-01 1.170e-02
